Date,Place,Value
2024-01-02T23:45:00Z,Fjederholt Å - A18,40.819
2024-01-02T23:30:00Z,Fjederholt Å - A18,40.817
2024-01-02T23:15:00Z,Fjederholt Å - A18,40.822
2024-01-02T23:00:00Z,Fjederholt Å - A18,40.825
2024-01-02T22:45:00Z,Fjederholt Å - A18,40.821000000000005
2024-01-02T22:30:00Z,Fjederholt Å - A18,40.816
2024-01-02T22:15:00Z,Fjederholt Å - A18,40.824000000000005
2024-01-02T22:00:00Z,Fjederholt Å - A18,40.826
2024-01-02T21:45:00Z,Fjederholt Å - A18,40.826
2024-01-02T21:30:00Z,Fjederholt Å - A18,40.827000000000005
2024-01-02T21:15:00Z,Fjederholt Å - A18,40.829
2024-01-02T21:00:00Z,Fjederholt Å - A18,40.826
2024-01-02T20:45:00Z,Fjederholt Å - A18,40.828
2024-01-02T20:30:00Z,Fjederholt Å - A18,40.828
2024-01-02T20:15:00Z,Fjederholt Å - A18,40.834
2024-01-02T20:00:00Z,Fjederholt Å - A18,40.831
2024-01-02T19:45:00Z,Fjederholt Å - A18,40.834
2024-01-02T19:30:00Z,Fjederholt Å - A18,40.828
2024-01-02T19:15:00Z,Fjederholt Å - A18,40.830000000000005
2024-01-02T19:00:00Z,Fjederholt Å - A18,40.828
2024-01-02T18:45:00Z,Fjederholt Å - A18,40.831
2024-01-02T18:30:00Z,Fjederholt Å - A18,40.834
2024-01-02T18:15:00Z,Fjederholt Å - A18,40.831
2024-01-02T18:00:00Z,Fjederholt Å - A18,40.833000000000006
2024-01-02T17:45:00Z,Fjederholt Å - A18,40.835
2024-01-02T17:30:00Z,Fjederholt Å - A18,40.833000000000006
2024-01-02T17:15:00Z,Fjederholt Å - A18,40.84
2024-01-02T17:00:00Z,Fjederholt Å - A18,40.834
2024-01-02T16:45:00Z,Fjederholt Å - A18,40.841
2024-01-02T16:30:00Z,Fjederholt Å - A18,40.84
2024-01-02T16:15:00Z,Fjederholt Å - A18,40.843
2024-01-02T16:00:00Z,Fjederholt Å - A18,40.841
2024-01-02T15:45:00Z,Fjederholt Å - A18,40.838
2024-01-02T15:30:00Z,Fjederholt Å - A18,40.839
2024-01-02T15:15:00Z,Fjederholt Å - A18,40.836000000000006
2024-01-02T15:00:00Z,Fjederholt Å - A18,40.844
2024-01-02T14:45:00Z,Fjederholt Å - A18,40.847
2024-01-02T14:30:00Z,Fjederholt Å - A18,40.843
2024-01-02T14:15:00Z,Fjederholt Å - A18,40.841
2024-01-02T14:00:00Z,Fjederholt Å - A18,40.844
2024-01-02T13:45:00Z,Fjederholt Å - A18,40.844
2024-01-02T13:30:00Z,Fjederholt Å - A18,40.845
2024-01-02T13:15:00Z,Fjederholt Å - A18,40.839
2024-01-02T13:00:00Z,Fjederholt Å - A18,40.846000000000004
2024-01-02T12:45:00Z,Fjederholt Å - A18,40.85
2024-01-02T12:30:00Z,Fjederholt Å - A18,40.847
2024-01-02T12:15:00Z,Fjederholt Å - A18,40.85
2024-01-02T12:00:00Z,Fjederholt Å - A18,40.853
2024-01-02T11:45:00Z,Fjederholt Å - A18,40.856
2024-01-02T11:30:00Z,Fjederholt Å - A18,40.845
2024-01-02T11:15:00Z,Fjederholt Å - A18,40.852000000000004
2024-01-02T11:00:00Z,Fjederholt Å - A18,40.853
2024-01-02T10:45:00Z,Fjederholt Å - A18,40.852000000000004
2024-01-02T10:30:00Z,Fjederholt Å - A18,40.853
2024-01-02T10:15:00Z,Fjederholt Å - A18,40.857
2024-01-02T10:00:00Z,Fjederholt Å - A18,40.853
2024-01-02T09:45:00Z,Fjederholt Å - A18,40.857
2024-01-02T09:30:00Z,Fjederholt Å - A18,40.856
2024-01-02T09:15:00Z,Fjederholt Å - A18,40.855000000000004
2024-01-02T09:00:00Z,Fjederholt Å - A18,40.852000000000004
2024-01-02T08:45:00Z,Fjederholt Å - A18,40.861000000000004
2024-01-02T08:30:00Z,Fjederholt Å - A18,40.858000000000004
2024-01-02T08:15:00Z,Fjederholt Å - A18,40.858000000000004
2024-01-02T08:00:00Z,Fjederholt Å - A18,40.86
2024-01-02T07:45:00Z,Fjederholt Å - A18,40.862
2024-01-02T07:30:00Z,Fjederholt Å - A18,40.862
2024-01-02T07:15:00Z,Fjederholt Å - A18,40.857
2024-01-02T07:00:00Z,Fjederholt Å - A18,40.861000000000004
2024-01-02T06:45:00Z,Fjederholt Å - A18,40.864000000000004
2024-01-02T06:30:00Z,Fjederholt Å - A18,40.859
2024-01-02T06:15:00Z,Fjederholt Å - A18,40.865
2024-01-02T06:00:00Z,Fjederholt Å - A18,40.862
2024-01-02T05:45:00Z,Fjederholt Å - A18,40.859
2024-01-02T05:30:00Z,Fjederholt Å - A18,40.863
2024-01-02T05:15:00Z,Fjederholt Å - A18,40.862
2024-01-02T05:00:00Z,Fjederholt Å - A18,40.863
2024-01-02T04:45:00Z,Fjederholt Å - A18,40.867000000000004
2024-01-02T04:30:00Z,Fjederholt Å - A18,40.859
2024-01-02T04:15:00Z,Fjederholt Å - A18,40.862
2024-01-02T04:00:00Z,Fjederholt Å - A18,40.86
2024-01-02T03:45:00Z,Fjederholt Å - A18,40.868
2024-01-02T03:30:00Z,Fjederholt Å - A18,40.865
2024-01-02T03:15:00Z,Fjederholt Å - A18,40.858000000000004
2024-01-02T03:00:00Z,Fjederholt Å - A18,40.864000000000004
2024-01-02T02:45:00Z,Fjederholt Å - A18,40.864000000000004
2024-01-02T02:30:00Z,Fjederholt Å - A18,40.863
2024-01-02T02:15:00Z,Fjederholt Å - A18,40.861000000000004
2024-01-02T02:00:00Z,Fjederholt Å - A18,40.856
2024-01-02T01:45:00Z,Fjederholt Å - A18,40.861000000000004
2024-01-02T01:30:00Z,Fjederholt Å - A18,40.861000000000004
2024-01-02T01:15:00Z,Fjederholt Å - A18,40.864000000000004
2024-01-02T01:00:00Z,Fjederholt Å - A18,40.862
2024-01-02T00:45:00Z,Fjederholt Å - A18,40.859
2024-01-02T00:30:00Z,Fjederholt Å - A18,40.859
2024-01-02T00:15:00Z,Fjederholt Å - A18,40.866
2024-01-02T00:00:00Z,Fjederholt Å - A18,40.859
2024-01-01T23:45:00Z,Fjederholt Å - A18,40.858000000000004
2024-01-01T23:30:00Z,Fjederholt Å - A18,40.859
2024-01-01T23:15:00Z,Fjederholt Å - A18,40.854
2024-01-01T23:00:00Z,Fjederholt Å - A18,40.862
2024-01-01T22:45:00Z,Fjederholt Å - A18,40.858000000000004
2024-01-01T22:30:00Z,Fjederholt Å - A18,40.86
2024-01-01T22:15:00Z,Fjederholt Å - A18,40.857
2024-01-01T22:00:00Z,Fjederholt Å - A18,40.858000000000004
2024-01-01T21:45:00Z,Fjederholt Å - A18,40.854
2024-01-01T21:30:00Z,Fjederholt Å - A18,40.853
2024-01-01T21:15:00Z,Fjederholt Å - A18,40.851
2024-01-01T21:00:00Z,Fjederholt Å - A18,40.859
2024-01-01T20:45:00Z,Fjederholt Å - A18,40.848
2024-01-01T20:30:00Z,Fjederholt Å - A18,40.854
2024-01-01T20:15:00Z,Fjederholt Å - A18,40.847
2024-01-01T20:00:00Z,Fjederholt Å - A18,40.847
2024-01-01T19:45:00Z,Fjederholt Å - A18,40.848
2024-01-01T19:30:00Z,Fjederholt Å - A18,40.843
2024-01-01T19:15:00Z,Fjederholt Å - A18,40.845
2024-01-01T19:00:00Z,Fjederholt Å - A18,40.841
2024-01-01T18:45:00Z,Fjederholt Å - A18,40.84
2024-01-01T18:30:00Z,Fjederholt Å - A18,40.839
2024-01-01T18:15:00Z,Fjederholt Å - A18,40.841
2024-01-01T18:00:00Z,Fjederholt Å - A18,40.837
