Date,Place,YGroup,Temp
2020-07-10T11:27:30Z,Skjern Å - Laksens hus,2022,14.7
2020-07-10T12:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-10T13:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-10T14:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-10T15:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-10T16:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-10T17:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-10T18:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-10T19:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-10T20:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-10T21:27:30Z,Skjern Å - Laksens hus,2022,15.2
2020-07-10T22:27:30Z,Skjern Å - Laksens hus,2022,15
2020-07-10T23:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-11T00:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-11T01:27:30Z,Skjern Å - Laksens hus,2022,14.6
2020-07-11T02:27:30Z,Skjern Å - Laksens hus,2022,14.5
2020-07-11T03:27:30Z,Skjern Å - Laksens hus,2022,14.4
2020-07-11T04:27:30Z,Skjern Å - Laksens hus,2022,14.2
2020-07-11T05:27:30Z,Skjern Å - Laksens hus,2022,14.1
2020-07-11T06:27:30Z,Skjern Å - Laksens hus,2022,14.1
2020-07-11T07:27:30Z,Skjern Å - Laksens hus,2022,14.2
2020-07-11T08:27:30Z,Skjern Å - Laksens hus,2022,14.5
2020-07-11T09:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-11T10:27:30Z,Skjern Å - Laksens hus,2022,15.1
2020-07-11T11:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-11T12:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-11T13:27:30Z,Skjern Å - Laksens hus,2022,16.1
2020-07-11T14:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-11T15:27:30Z,Skjern Å - Laksens hus,2022,16.6
2020-07-11T16:27:30Z,Skjern Å - Laksens hus,2022,16.6
2020-07-11T17:27:30Z,Skjern Å - Laksens hus,2022,16.7
2020-07-11T18:27:30Z,Skjern Å - Laksens hus,2022,16.6
2020-07-11T19:27:30Z,Skjern Å - Laksens hus,2022,16.5
2020-07-11T20:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-11T21:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-11T22:27:30Z,Skjern Å - Laksens hus,2022,16.1
2020-07-11T23:27:30Z,Skjern Å - Laksens hus,2022,16
2020-07-12T00:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-12T01:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-12T02:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-12T03:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-12T04:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-12T05:27:30Z,Skjern Å - Laksens hus,2022,15.3
2020-07-12T06:27:30Z,Skjern Å - Laksens hus,2022,15.3
2020-07-12T07:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-12T08:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-12T09:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-12T10:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-12T11:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-12T12:27:30Z,Skjern Å - Laksens hus,2022,16.6
2020-07-12T13:27:30Z,Skjern Å - Laksens hus,2022,16.7
2020-07-12T14:27:30Z,Skjern Å - Laksens hus,2022,16.8
2020-07-12T15:27:30Z,Skjern Å - Laksens hus,2022,16.8
2020-07-12T16:27:30Z,Skjern Å - Laksens hus,2022,16.8
2020-07-12T17:27:30Z,Skjern Å - Laksens hus,2022,16.8
2020-07-12T18:27:30Z,Skjern Å - Laksens hus,2022,16.7
2020-07-12T19:27:30Z,Skjern Å - Laksens hus,2022,16.6
2020-07-12T20:27:30Z,Skjern Å - Laksens hus,2022,16.5
2020-07-12T21:27:30Z,Skjern Å - Laksens hus,2022,16.5
2020-07-12T22:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-12T23:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-13T00:27:30Z,Skjern Å - Laksens hus,2022,16.3
2020-07-13T01:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-13T02:27:30Z,Skjern Å - Laksens hus,2022,16.1
2020-07-13T03:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-13T04:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-13T05:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-13T06:27:30Z,Skjern Å - Laksens hus,2022,15.8
2020-07-13T07:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-13T08:27:30Z,Skjern Å - Laksens hus,2022,16.1
2020-07-13T09:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-13T10:27:30Z,Skjern Å - Laksens hus,2022,16.5
2020-07-13T11:27:30Z,Skjern Å - Laksens hus,2022,16.9
2020-07-13T12:27:30Z,Skjern Å - Laksens hus,2022,17.2
2020-07-13T13:27:30Z,Skjern Å - Laksens hus,2022,17.4
2020-07-13T14:27:30Z,Skjern Å - Laksens hus,2022,17.6
2020-07-13T15:27:30Z,Skjern Å - Laksens hus,2022,17.8
2020-07-13T16:27:30Z,Skjern Å - Laksens hus,2022,17.7
2020-07-13T17:27:30Z,Skjern Å - Laksens hus,2022,17.6
2020-07-13T18:27:30Z,Skjern Å - Laksens hus,2022,17.2
2020-07-13T19:27:30Z,Skjern Å - Laksens hus,2022,17
2020-07-13T20:27:30Z,Skjern Å - Laksens hus,2022,16.9
2020-07-13T21:27:30Z,Skjern Å - Laksens hus,2022,16.7
2020-07-13T22:27:30Z,Skjern Å - Laksens hus,2022,16.5
2020-07-13T23:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-14T00:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-14T01:27:30Z,Skjern Å - Laksens hus,2022,16
2020-07-14T02:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-14T03:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-14T04:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-14T05:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-14T06:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-14T07:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-14T08:27:30Z,Skjern Å - Laksens hus,2022,15.6
2020-07-14T09:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-14T10:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-14T11:27:30Z,Skjern Å - Laksens hus,2022,16
2020-07-14T12:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-14T13:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-14T14:27:30Z,Skjern Å - Laksens hus,2022,16.4
2020-07-14T15:27:30Z,Skjern Å - Laksens hus,2022,16.3
2020-07-14T16:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-14T17:27:30Z,Skjern Å - Laksens hus,2022,16.2
2020-07-14T18:27:30Z,Skjern Å - Laksens hus,2022,15.9
2020-07-14T19:27:30Z,Skjern Å - Laksens hus,2022,15.7
2020-07-14T20:27:30Z,Skjern Å - Laksens hus,2022,15.5
2020-07-14T21:27:30Z,Skjern Å - Laksens hus,2022,15.4
2020-07-14T22:27:30Z,Skjern Å - Laksens hus,2022,15.1
2020-07-14T23:27:30Z,Skjern Å - Laksens hus,2022,14.9
2020-07-15T00:27:30Z,Skjern Å - Laksens hus,2022,14.8
2020-07-15T01:27:30Z,Skjern Å - Laksens hus,2022,14.6
2020-07-15T02:27:30Z,Skjern Å - Laksens hus,2022,14.4
2020-07-15T03:27:30Z,Skjern Å - Laksens hus,2022,14.3
