Length,Period,Avg,Lower,Upper,MonthN
100,May,9.669,7.66,12.204,5
100,Jun,9.266,7.339,11.699,6
100,Jul,9.43,7.463,11.914,7
100,Aug,9.183,7.273,11.594,8
100,Sep,9.187,7.273,11.604,9
100,Oct,9.389,7.383,11.939,10
101,Apr,10.24,8.114,12.924,4
101,May,9.947,7.881,12.556,5
101,Jun,9.518,7.538,12.018,6
101,Jul,9.707,7.682,12.266,7
101,Aug,9.459,7.492,11.943,8
101,Sep,9.471,7.498,11.964,9
101,Oct,9.683,7.612,12.318,10
102,Apr,10.568,8.374,13.338,4
102,May,10.231,8.105,12.914,5
102,Jun,9.775,7.741,12.343,6
102,Jul,9.99,7.906,12.625,7
102,Aug,9.741,7.714,12.299,8
102,Sep,9.762,7.727,12.331,9
102,Oct,9.983,7.845,12.704,10
103,Apr,10.904,8.639,13.762,4
103,May,10.519,8.333,13.279,5
103,Jun,10.036,7.947,12.673,6
103,Jul,10.279,8.133,12.99,7
103,Aug,10.027,7.941,12.662,8
103,Sep,10.058,7.961,12.706,9
103,Oct,10.29,8.083,13.1,10
104,Apr,11.246,8.911,14.194,4
104,May,10.813,8.565,13.651,5
104,Jun,10.301,8.157,13.009,6
104,Jul,10.572,8.365,13.363,7
104,Aug,10.32,8.172,13.032,8
104,Sep,10.36,8.2,13.088,9
104,Oct,10.603,8.325,13.503,10
105,Apr,11.596,9.187,14.637,4
105,May,11.112,8.802,14.029,5
105,Jun,10.571,8.37,13.351,6
105,Jul,10.872,8.601,13.742,7
105,Aug,10.618,8.408,13.409,8
105,Sep,10.668,8.443,13.478,9
105,Oct,10.922,8.573,13.915,10
106,Apr,11.954,9.47,15.088,4
106,May,11.417,9.043,14.414,5
106,Jun,10.845,8.587,13.698,6
106,Jul,11.176,8.841,14.129,7
106,Aug,10.922,8.648,13.793,8
106,Sep,10.982,8.692,13.876,9
106,Oct,11.248,8.825,14.336,10
107,Apr,12.318,9.759,15.549,4
107,May,11.727,9.287,14.806,5
107,Jun,11.124,8.807,14.051,6
107,Jul,11.487,9.085,14.523,7
107,Aug,11.231,8.893,14.184,8
107,Sep,11.303,8.945,14.282,9
107,Oct,11.58,9.082,14.766,10
108,Apr,12.691,10.054,16.02,4
108,May,12.042,9.537,15.205,5
108,Jun,11.407,9.03,14.409,6
108,Jul,11.803,9.334,14.924,7
108,Aug,11.547,9.142,14.583,8
108,Sep,11.629,9.203,14.696,9
108,Oct,11.919,9.344,15.204,10
109,Apr,13.071,10.354,16.5,4
109,May,12.363,9.79,15.611,5
109,Jun,11.694,9.257,14.774,6
109,Jul,12.124,9.588,15.332,7
109,Aug,11.868,9.396,14.989,8
109,Sep,11.962,9.466,15.117,9
109,Oct,12.264,9.611,15.651,10
110,Apr,13.459,10.661,16.991,4
110,May,12.689,10.048,16.024,5
110,Jun,11.987,9.487,15.144,6
110,Jul,12.452,9.845,15.748,7
110,Aug,12.195,9.655,15.403,8
110,Sep,12.302,9.733,15.547,9
110,Oct,12.617,9.883,16.107,10
111,Apr,13.854,10.974,17.491,4
111,May,13.02,10.31,16.444,5
111,Jun,12.283,9.722,15.52,6
111,Jul,12.785,10.108,16.17,7
111,Aug,12.527,9.918,15.824,8
111,Sep,12.647,10.006,15.985,9
111,Oct,12.976,10.159,16.572,10
112,Apr,14.258,11.293,18.001,4
112,May,13.358,10.576,16.871,5
112,Jun,12.584,9.959,15.902,6
112,Jul,13.123,10.374,16.601,7
112,Aug,12.866,10.186,16.252,8
112,Sep,13,10.284,16.432,9
112,Oct,13.341,10.442,17.047,10
113,Apr,14.67,11.619,18.522,4
113,May,13.701,10.847,17.306,5
113,Jun,12.89,10.2,16.29,6
113,Jul,13.468,10.646,17.039,7
113,Aug,13.211,10.458,16.689,8
113,Sep,13.358,10.568,16.886,9
113,Oct,13.714,10.729,17.531,10
114,Apr,15.089,11.951,19.053,4
114,May,14.049,11.122,17.747,5
114,Jun,13.201,10.445,16.683,6
114,Jul,13.819,10.922,17.484,7
114,Aug,13.562,10.736,17.133,8
114,Sep,13.724,10.856,17.349,9
114,Oct,14.094,11.021,18.024,10
115,Apr,15.517,12.289,19.594,4
115,May,14.404,11.402,18.196,5
115,Jun,13.516,10.694,17.083,6
115,Jul,14.175,11.202,17.937,7
115,Aug,13.919,11.018,17.585,8
115,Sep,14.096,11.15,17.821,9
115,Oct,14.481,11.319,18.526,10
116,Apr,15.953,12.634,20.146,4
116,May,14.764,11.686,18.652,5
116,Jun,13.836,10.946,17.489,6
116,Jul,14.538,11.487,18.398,7
116,Aug,14.282,11.305,18.044,8
116,Sep,14.475,11.448,18.301,9
116,Oct,14.875,11.622,19.039,10
117,Apr,16.398,12.985,20.708,4
117,May,15.129,11.974,19.116,5
117,Jun,14.16,11.201,17.901,6
117,Jul,14.906,11.777,18.867,7
117,Aug,14.652,11.597,18.512,8
