Group,Desc,Text,long,lat,LineGroupId,Club
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115674,56.329943,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115755,56.330156,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115863,56.33021,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116106,56.330352,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116625,56.330454,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116883,56.330701,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117073,56.330745,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117058,56.330801,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11674,56.331233,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11628,56.331393,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115846,56.331569,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115798,56.331711,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116015,56.331804,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116162,56.331796,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117089,56.331743,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117276,56.331845,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116277,56.332368,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115442,56.332812,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115458,56.332914,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115737,56.332936,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115982,56.333035,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116045,56.333206,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115941,56.333331,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115856,56.333492,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115937,56.33363,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116345,56.333716,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115995,56.333725,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115804,56.333774,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115522,56.33388,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1153670000000009,56.333855,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115213,56.3337,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.114764,56.333558,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.114574,56.33356,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.114407,56.333576,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11376,56.333863,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113711,56.334199,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113469,56.33437,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113304,56.334388,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.112928,56.334328,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.112701,56.334483,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.112659,56.334662,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.112872,56.33477,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113078,56.334817,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113215,56.334807,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113474,56.334772,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113988,56.334718,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.114056,56.3348,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113935,56.334933,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113653,56.335104,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.113382,56.335152,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.112958,56.335125,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.112415,56.33518,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.111889,56.335247,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.111514,56.33542,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.111214,56.335615,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.111154,56.335702,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11117,56.335795,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.111323,56.335984,1,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1483229,56.3108092,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1483766,56.310711,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1483176,56.3105592,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1480333,56.3103688,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1479421,56.3102319,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.148044,56.3100861,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1480172,56.3099403,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1479528,56.3097677,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1480279,56.3096874,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1482532,56.3096874,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1484785,56.3097558,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1487521,56.3097558,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1490525,56.3096784,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1493422,56.309485,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1495997,56.3092886,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1498142,56.3091964,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1502112,56.3091636,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1504794,56.3090714,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1505438,56.3089018,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1505224,56.3087679,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.150458,56.3085774,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.15034,56.3084554,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1501737,56.3082977,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1501147,56.3082114,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1502273,56.3082263,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1503882,56.3083275,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1507155,56.3084703,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1509998,56.3085358,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1512358,56.308631,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1514558,56.3087649,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1517186,56.3087619,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1519171,56.3086756,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1522551,56.3084257,2,HI-LF
Dagkort,Karup Å (Rensningsanlægget) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1525018,56.3080775,2,HI-LF
