Group,Desc,Text,long,lat,Club,Icon
Standpladser,Høj skrænt svinget,NA,9.1443,56.311919,NA,fish.png
Standpladser,Den røde sump,NA,9.148065,56.310512,NA,fish.png
Shelter,Nørkærbro Shelterplads,Info https://udinaturen.dk/shelter/122064,8.9831771,56.5146814,NA,shelter.png
Shelter,Shelterplads Vridsted,Info https://udinaturen.dk/shelter/131229,9.0027805,56.4427688,NA,shelter.png
Shelter,Fårbæk shelterplads,Info https://udinaturen.dk/shelter/103322,9.0742787,56.3721201,NA,shelter.png
Parkering og ruter,Parkering,Kør ned ved rensningsanlægget og parker helt nede ved åen.,9.152829,56.308309,MV-LF,park.png
Parkering og ruter,Parkering,Parkering foran fiskehytten.,9.143908,56.314217,MV-LF,park.png
Parkering og ruter,Parkering,Parkering før det røde sommerhus.,9.139391,56.318012,MV-LF,park.png
Parkering og ruter,Parkering,NA,9.123373,56.3232,MV-LF,park.png
Parkering og ruter,Parkering,Tilkørsel ad kærvej. Følges hele vejen til stor åben plads. Vores fiskeri ligger opstrøms parkeringen. Kør forsigtigt ad Kærvej af hensyn til beboerne.,9.163316,56.300212,MV-LF,park.png
Parkering og ruter,Parkering,NA,9.176309,56.299171,MV-LF,park.png
Parkering og ruter,Parkering,Åhusevej 13. P-skilt er opsat.,9.131811,56.322029,MV-LF,park.png
Parkering og ruter,Parkering,Emil ved nummer Munklindevej 72.,9.193491,56.253421,MV-LF,park.png
Parkering og ruter,Parkering,Munklindevej 83.,9.195793,56.262994,MV-LF,park.png
Parkering og ruter,Parkering,Kør ned overfor Uhrevej 54.,9.173863,56.288483,MV-LF,park.png
Parkering og ruter,Parkering ved camping,Der SKAL parkeres på campingspladsen p-plads.,9.114957,56.322837,MV-LF,park.png
Parkering og ruter,Parkering i skoven,NA,9.1144565,56.3304642,MV-LF,park.png
Parkering og ruter,Parkering,NA,9.113487,56.332581,MV-LF,park.png
Parkering og ruter,Parkering Agerskov bro,NA,9.190536,56.247543,MV-LF,park.png
Parkering og ruter,Parkering,NA,9.1086,56.346818,MV-LF,park.png
Parkering og ruter,Parkering,"Kør ud af Karupvej, drej ned lige før skoven og følg markvejen.",9.25048,56.201558,MV-LF,park.png
Parkering og ruter,Parkering (Uhrevej 45),NA,9.182709,56.288644,MV-LF,park.png
Parkering og ruter,Parkering,NA,9.194358,56.273558,MV-LF,park.png
Parkering og ruter,Parkering,NA,9.08951,56.363776,MV-LF,park.png
Parkering og ruter,Parkering - Det grønne sommerhus,NA,9.0854022,56.3686761,MV-LF,park.png
Parkering og ruter,Parkering - Mejeriet,NA,9.0733269,56.3718351,MV-LF,park.png
Parkering og ruter,Parkering - Resenbro,"POS: 56.37733, 9.07419",9.0743345,56.3778071,MV-LF,park.png
Parkering og ruter,Parkering - Læskuret,NA,9.0624422,56.3835982,MV-LF,park.png
Parkering og ruter,Parkering - Det røde sommerhus,NA,9.0768948,56.3800651,MV-LF,park.png
Parkering og ruter,Parkering,"POS: 56.4255, 9.00428",9.004288,56.425506,MV-LF,park.png
Parkering og ruter,Parkering,"POS: 56.42398, 9.00045",9.000453,56.42399,MV-LF,park.png
Parkering og ruter,Parkering,"Nedre Karup Å ved Røjbæk/Grønbæks Store høl øst side. POS: 56.41402, 9.00587",9.005871,56.41402,MV-LF,park.png
Parkering og ruter,Parkering,"Nedre Karup Å ved Grønbæks Store høl, vest side. POS: 56.41704, 8.99213",8.992138,56.417047,MV-LF,park.png
Parkering og ruter,Parkering Hagebro,"Parkering på rasteplads på begge sider af vejen. ""Nedre Karup Å"" er nedstrøms for Hagebro og ""Mellem Karup Å"" er opstrøms for Hagebro.",9.006622,56.406785,MV-LF,park.png
Parkering og ruter,Parkering,"Mellem Karup Å, Sejbæk strækket i Vormstrup. POS: 56.40337, 9.01502",9.015022,56.403377,MV-LF,park.png
Parkering og ruter,Parkering,"Mellem Karup Å ved Sejbæk og Østergaards Store Bakke. POS: 56.40952, 9.02235",9.02235,56.409524,MV-LF,park.png
Parkering og ruter,Parkering,"Mellem Karup Å i Vormstrup ved Jørgen Handberg/Uldbutikken. POS: 56.40195, 9.02268",9.022683,56.401955,MV-LF,park.png
Parkering og ruter,Parkering,"Mellem Karup Å ved de berømte Vormstrup-sving. POS: 56.39969, 9.03261",9.032618,56.39969,MV-LF,park.png
Parkering og ruter,Parkering,"Mellem Karup Å ved ""Club Hegnsgaard"" i Vormstrup. POS: 56.39523, 9.04219",9.042193,56.395234,MV-LF,park.png
Parkering og ruter,Parkering,"Mellem Karup Å ved ""Sandvilhus"". POS: 56.38772, 9.05974",9.05974,56.387722,MV-LF,park.png
Parkering og ruter,Parkering,"Mellem Karup Å ved ""Over- Neder Torp"". POS: 56.36179, 9.09921",9.099217,56.361797,MV-LF,park.png
Parkering og ruter,Parkering,"Mellem Karup Å ved Høgild. POS: 56.34657, 9.10461",9.104614,56.346574,MV-LF,park.png
Parkering og ruter,Parkering,"POS: 56.40056, 9.01326",9.013263,56.400566,MV-LF,park.png
Parkering og ruter,Parkering,"Haderis Å ved Haderup by. POS: 56.38915, 9.00628",9.006289,56.389156,MV-LF,park.png
Parkering og ruter,Parkering Rensningsanlægget,"Haderis Å ved Haderup Rensningsanlæg. POS: 56.38577, 8.99963",8.999637,56.385774,MV-LF,park.png
