Length,Period,Avg,Lower,Upper,MonthN
94,sep,9.198,7,12.086,9
94,okt,8.537,6.436,11.324,10
95,apr,9.559,7.207,12.68,4
95,maj,11.441,8.643,15.144,5
95,jun,10.763,8.188,14.149,6
95,jul,10.307,7.85,13.534,7
95,aug,9.495,7.233,12.466,8
95,sep,9.486,7.218,12.466,9
95,okt,8.799,6.63,11.677,10
96,apr,9.852,7.424,13.073,4
96,maj,11.819,8.925,15.651,5
96,jun,11.101,8.443,14.595,6
96,jul,10.627,8.093,13.955,7
96,aug,9.785,7.453,12.847,8
96,sep,9.781,7.442,12.855,9
96,okt,9.066,6.828,12.037,10
97,apr,10.15,7.647,13.474,4
97,maj,12.206,9.213,16.17,5
97,jun,11.445,8.704,15.049,6
97,jul,10.954,8.341,14.385,7
97,aug,10.08,7.677,13.236,8
97,sep,10.081,7.669,13.251,9
97,okt,9.338,7.03,12.404,10
98,apr,10.455,7.873,13.883,4
98,maj,12.601,9.508,16.701,5
98,jun,11.796,8.97,15.513,6
98,jul,11.287,8.594,14.824,7
98,aug,10.381,7.906,13.632,8
98,sep,10.387,7.902,13.655,9
98,okt,9.615,7.235,12.779,10
99,apr,10.765,8.103,14.3,4
99,maj,13.005,9.808,17.244,5
99,jun,12.155,9.242,15.986,6
99,jul,11.627,8.852,15.271,7
99,aug,10.688,8.139,14.036,8
99,sep,10.7,8.138,14.067,9
99,okt,9.898,7.444,13.161,10
100,apr,11.081,8.338,14.726,4
100,maj,13.418,10.115,17.799,5
100,jun,12.52,9.518,16.469,6
100,jul,11.973,9.115,15.727,7
100,aug,11.001,8.376,14.447,8
100,sep,11.018,8.379,14.488,9
100,okt,10.186,7.657,13.551,10
101,apr,11.403,8.577,15.16,4
101,maj,13.839,10.428,18.366,5
101,jun,12.893,9.8,16.961,6
101,jul,12.326,9.383,16.192,7
101,aug,11.319,8.618,14.867,8
101,sep,11.343,8.625,14.917,9
101,okt,10.48,7.874,13.949,10
102,apr,11.731,8.821,15.602,4
102,maj,14.269,10.747,18.945,5
102,jun,13.273,10.088,17.463,6
102,jul,12.686,9.656,16.667,7
102,aug,11.644,8.864,15.294,8
102,sep,11.674,8.876,15.354,9
102,okt,10.779,8.094,14.354,10
103,apr,12.066,9.069,16.053,4
103,maj,14.708,11.073,19.537,5
103,jun,13.66,10.381,17.975,6
103,jul,13.053,9.934,17.15,7
103,aug,11.974,9.115,15.729,8
103,sep,12.011,9.131,15.799,9
103,okt,11.083,8.318,14.767,10
104,apr,12.406,9.321,16.512,4
104,maj,15.157,11.406,20.142,5
104,jun,14.055,10.679,18.497,6
104,jul,13.426,10.218,17.642,7
104,aug,12.311,9.371,16.173,8
104,sep,12.355,9.391,16.253,9
104,okt,11.393,8.547,15.187,10
105,apr,12.753,9.578,16.98,4
105,maj,15.614,11.744,20.759,5
105,jun,14.457,10.983,19.028,6
105,jul,13.807,10.507,18.144,7
105,aug,12.653,9.631,16.624,8
105,sep,12.705,9.656,16.715,9
105,okt,11.709,8.779,15.616,10
106,apr,13.106,9.839,17.457,4
106,maj,16.081,12.09,21.39,5
106,jun,14.866,11.293,19.57,6
106,jul,14.195,10.801,18.655,7
106,aug,13.002,9.895,17.084,8
106,sep,13.061,9.926,17.186,9
106,okt,12.03,9.015,16.053,10
