Date,Place,Level,LevelRelative
2021-01-23T00:45:00Z,Skjern Å - Alergaard (001862),-3.164,1.018
2021-01-23T00:45:00Z,Rind Å - Arnborg kirke (054757),1.746,0.8
2021-01-23T00:45:00Z,Omme Å - Sønderskov bro (001855),-1.119,0.432
2021-01-23T00:45:00Z,Fjederholt Å - A18 (052386),0.96,0.221
2021-01-23T00:30:00Z,Vorgod Å - Vandmøllen (055416),1.261,0.254
2021-01-23T00:30:00Z,Skjern Å - Sandfeldvej (055414),1.605,0.491
2021-01-23T00:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.83,0.705
2021-01-23T00:30:00Z,Skjern Å - Alergaard (001862),-3.164,1.018
2021-01-23T00:30:00Z,Rind Å - Arnborg kirke (054757),1.753,0.807
2021-01-23T00:30:00Z,Omme Å - Sønderskov bro (001855),-1.119,0.432
2021-01-23T00:30:00Z,Fjederholt Å - A18 (052386),0.96,0.221
2021-01-23T00:15:00Z,Vorgod Å - Vandmøllen (055416),1.26,0.253
2021-01-23T00:15:00Z,Skjern Å - Sandfeldvej (055414),1.609,0.495
2021-01-23T00:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.834,0.709
2021-01-23T00:15:00Z,Skjern Å - Alergaard (001862),-3.164,1.018
2021-01-23T00:15:00Z,Rind Å - Arnborg kirke (054757),1.75,0.804
2021-01-23T00:15:00Z,Omme Å - Sønderskov bro (001855),-1.12,0.431
2021-01-23T00:15:00Z,Fjederholt Å - A18 (052386),0.955,0.216
2021-01-23T00:00:00Z,Vorgod Å - Vandmøllen (055416),1.263,0.256
2021-01-23T00:00:00Z,Skjern Å - Sandfeldvej (055414),1.61,0.496
2021-01-23T00:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.834,0.709
2021-01-23T00:00:00Z,Skjern Å - Alergaard (001862),-3.173,1.009
2021-01-23T00:00:00Z,Rind Å - Arnborg kirke (054757),1.757,0.811
2021-01-23T00:00:00Z,Omme Å - Sønderskov bro (001855),-1.12,0.431
2021-01-23T00:00:00Z,Fjederholt Å - A18 (052386),0.963,0.224
2021-01-22T23:45:00Z,Vorgod Å - Vandmøllen (055416),1.261,0.253
2021-01-22T23:45:00Z,Skjern Å - Sandfeldvej (055414),1.611,0.497
2021-01-22T23:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.831,0.705
2021-01-22T23:45:00Z,Skjern Å - Alergaard (001862),-3.169,1.012
2021-01-22T23:45:00Z,Rind Å - Arnborg kirke (054757),1.759,0.809
2021-01-22T23:45:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.429
2021-01-22T23:45:00Z,Fjederholt Å - A18 (052386),0.964,0.225
2021-01-22T23:30:00Z,Vorgod Å - Vandmøllen (055416),1.263,0.255
2021-01-22T23:30:00Z,Skjern Å - Sandfeldvej (055414),1.614,0.5
2021-01-22T23:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.836,0.71
2021-01-22T23:30:00Z,Skjern Å - Alergaard (001862),-3.17,1.011
2021-01-22T23:30:00Z,Rind Å - Arnborg kirke (054757),1.776,0.826
2021-01-22T23:30:00Z,Omme Å - Sønderskov bro (001855),-1.122,0.428
2021-01-22T23:30:00Z,Fjederholt Å - A18 (052386),0.964,0.225
2021-01-22T23:15:00Z,Vorgod Å - Vandmøllen (055416),1.266,0.258
2021-01-22T23:15:00Z,Skjern Å - Sandfeldvej (055414),1.617,0.503
2021-01-22T23:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.833,0.707
2021-01-22T23:15:00Z,Skjern Å - Alergaard (001862),-3.166,1.015
2021-01-22T23:15:00Z,Rind Å - Arnborg kirke (054757),1.768,0.818
2021-01-22T23:15:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.429
2021-01-22T23:15:00Z,Fjederholt Å - A18 (052386),0.96,0.221
2021-01-22T23:00:00Z,Vorgod Å - Vandmøllen (055416),1.268,0.26
2021-01-22T23:00:00Z,Skjern Å - Sandfeldvej (055414),1.619,0.505
2021-01-22T23:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.836,0.71
2021-01-22T23:00:00Z,Skjern Å - Alergaard (001862),-3.17,1.011
2021-01-22T23:00:00Z,Rind Å - Arnborg kirke (054757),1.777,0.827
2021-01-22T23:00:00Z,Omme Å - Sønderskov bro (001855),-1.12,0.43
2021-01-22T23:00:00Z,Fjederholt Å - A18 (052386),0.971,0.232
2021-01-22T22:45:00Z,Vorgod Å - Vandmøllen (055416),1.271,0.263
2021-01-22T22:45:00Z,Skjern Å - Sandfeldvej (055414),1.621,0.507
2021-01-22T22:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.834,0.708
2021-01-22T22:45:00Z,Skjern Å - Alergaard (001862),-3.162,1.019
2021-01-22T22:45:00Z,Rind Å - Arnborg kirke (054757),1.768,0.818
2021-01-22T22:45:00Z,Omme Å - Sønderskov bro (001855),-1.121,0.429
2021-01-22T22:45:00Z,Fjederholt Å - A18 (052386),0.97,0.231
2021-01-22T22:30:00Z,Vorgod Å - Vandmøllen (055416),1.266,0.258
2021-01-22T22:30:00Z,Skjern Å - Sandfeldvej (055414),1.622,0.508
2021-01-22T22:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.825,0.699
2021-01-22T22:30:00Z,Skjern Å - Alergaard (001862),-3.17,1.011
2021-01-22T22:30:00Z,Rind Å - Arnborg kirke (054757),1.76,0.81
