Date,Vorgod Å - Vandmøllen (055416),Skjern Å - Sandfeldvej (055414),Skjern Å - Alergaard (001862),Skjern Å - Gjaldbæk bro (017898),Rind Å - Arnborg kirke (054757),Omme Å - Sønderskov bro (001855),Fjederholt Å - A18 (052386)
2020-07-04T20:15:00Z,0.9687783050537111,1.17542678833008,-4.36391927719116,1.0328705596923802,1.01488952636719,-1.6627088623046902,0.621
2020-07-04T20:00:00Z,0.965052337646484,1.17273406982422,-4.36997304916381,1.0282799530029298,1.01333717346191,-1.6652213745117201,0.621
2020-07-04T19:45:00Z,0.961689071655273,1.16968414306641,-4.37334493637085,1.02160011291504,1.00421684265137,-1.66775173950195,0.62
2020-07-04T19:30:00Z,0.9581604766845699,1.16616287231445,-4.373302516937249,1.01658668518066,1.00208236694336,-1.670195281982422,0.619
2020-07-04T19:15:00Z,0.955611343383789,1.16220848083496,-4.375908870697019,1.01499969482422,0.9978131866455081,-1.672727554321289,0.619
2020-07-04T19:00:00Z,0.952732086181641,1.15784004211426,-4.387073268890379,1.0089993286132801,0.991603775024414,-1.675621841430664,0.618
2020-07-04T18:45:00Z,0.9486631011962889,1.15309135437012,-4.38689199447631,1.0073506927490201,0.99024543762207,-1.678450286865234,0.619
2020-07-04T18:30:00Z,0.9451100921630861,1.14782821655273,-4.38942373275756,1.00261245727539,0.9875287628173831,-1.6815602569580081,0.619
2020-07-04T18:15:00Z,0.94257568359375,1.1422390747070301,-4.39043157577514,0.999476318359375,0.9855882263183591,-1.6846302490234373,0.618
2020-07-04T18:00:00Z,0.939132843017578,1.13631149291992,-4.39816915512085,0.9922306060791021,0.9787966156005861,-1.6874164276123051,0.618
2020-07-04T17:45:00Z,0.9357421875,1.1300040435791,-4.39892202377319,0.988721618652344,0.974333419799805,-1.69086979675293,0.617
2020-07-04T17:30:00Z,0.932509765625,1.12340637207031,-4.40721754074096,0.986220321655273,0.972393035888672,-1.693922470092773,0.617
2020-07-04T17:15:00Z,0.92963134765625,1.1167388153076199,-4.41205373764038,0.981281356811523,0.964437026977539,-1.6974818878173832,0.617
2020-07-04T17:00:00Z,0.926525802612305,1.1103003692627,-4.40944952011108,0.9739546203613281,0.9624964904785159,-1.7010522155761723,0.617
