Length,Period,Avg,Lower,Upper,MonthN
102,Jun,13.173,10.62,16.34,6
102,Jul,13.33,10.749,16.531,7
102,Aug,13.023,10.5,16.151,8
102,Sep,12.28,9.9,15.232,9
102,Oct,11.963,9.644,14.839,10
102,Apr,13.484,10.844,16.769,4
103,Mar,9.292,7.486,11.533,3
103,May,13.769,11.085,17.102,5
103,Jun,13.568,10.938,16.829,6
103,Jul,13.736,11.076,17.035,7
103,Aug,13.421,10.821,16.645,8
103,Sep,12.649,10.197,15.69,9
103,Oct,12.322,9.933,15.284,10
103,Apr,13.942,11.21,17.339,4
104,Mar,9.556,7.699,11.862,3
104,May,14.177,11.413,17.611,5
104,Jun,13.97,11.262,17.328,6
104,Jul,14.15,11.41,17.549,7
104,Aug,13.827,11.148,17.148,8
104,Sep,13.025,10.501,16.157,9
104,Oct,12.687,10.228,15.738,10
104,Apr,14.41,11.585,17.923,4
