Dato,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,Port 7,Port 8,Port 9,Port 10,Port 11,Port 12,Port 13,Port 14,Hændelse
2011-08-22T22:01:00Z,NA,NA,NA,5,NA,5,NA,5,5,NA,5,NA,5,5,Udstrøm
2011-08-23T04:09:00Z,NA,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,Udstrøm slut
2011-08-23T16:49:00Z,NA,NA,NA,5,NA,5,5,5,5,NA,5,NA,5,5,Udstrøm
2011-08-23T18:38:00Z,NA,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,0,Arbejde sluse eller havn
2011-08-23T20:09:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-23T21:02:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-08-23T21:13:00Z,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,Fiskeriet
2011-08-24T11:00:00Z,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,Arbejde sluse eller havn
2011-08-24T14:52:00Z,NA,NA,NA,5,NA,5,5,5,5,NA,5,5,NA,5,Udstrøm
2011-08-24T16:54:00Z,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,Udstrøm slut
2011-08-24T20:33:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Fiskeriet
2011-08-25T05:02:00Z,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-25T06:57:00Z,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,Udstrøm slut
2011-08-25T07:08:00Z,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,Ud og indstrøm
2011-08-25T12:45:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-25T14:12:00Z,NA,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,Arbejde sluse eller havn
2011-08-25T14:14:00Z,NA,NA,NA,5,NA,5,5,NA,5,5,NA,5,5,5,Udstrøm
2011-08-25T14:15:00Z,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,Arbejde sluse eller havn
2011-08-25T18:32:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Besejling
2011-08-25T18:34:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-08-25T19:42:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-25T20:43:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-08-26T01:51:00Z,NA,NA,NA,5,5,NA,5,5,5,5,NA,NA,5,5,Udstrøm
2011-08-26T11:57:00Z,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,Besejling
2011-08-26T13:03:00Z,NA,NA,NA,5,5,NA,5,5,5,5,NA,NA,5,5,Indstrøm
2011-08-26T14:10:00Z,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,Indstrøm slut
2011-08-26T15:34:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-26T21:15:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,lukket ned.der er ikke nok vind til indstrøm 5ms
2011-08-27T01:49:00Z,NA,NA,NA,NA,5,5,NA,5,5,NA,5,5,NA,NA,Indstrøm
2011-08-27T02:50:00Z,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,Indstrøm
2011-08-27T17:45:00Z,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,5,NA,NA,Udstrøm
2011-08-27T19:20:00Z,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,Udstrøm slut
2011-08-27T19:37:00Z,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,NA,Besejling
2011-08-27T19:59:00Z,NA,NA,NA,NA,5,5,NA,5,5,NA,5,5,5,NA,Indstrøm
2011-08-27T20:57:00Z,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,Indstrøm
2011-08-27T23:50:00Z,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,Høj havvandstand
2011-08-28T02:55:00Z,NA,NA,NA,NA,5,5,5,5,5,NA,5,5,5,NA,Indstrøm
2011-08-28T05:46:00Z,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,Indstrøm slut
2011-08-28T08:22:00Z,NA,NA,NA,NA,5,5,5,5,5,NA,5,5,5,NA,Indstrøm
2011-08-28T10:44:00Z,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,+60
2011-08-28T15:35:00Z,NA,NA,NA,NA,5,5,5,5,5,NA,5,5,5,NA,Indstrøm
2011-08-28T19:51:00Z,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,Besejling
2011-08-28T20:04:00Z,NA,NA,NA,NA,5,5,5,5,5,NA,5,5,5,NA,Indstrøm
2011-08-28T22:52:00Z,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,Høj havvandstand
2011-08-29T04:48:00Z,NA,NA,NA,NA,5,5,5,5,5,NA,5,5,5,NA,Indstrøm
2011-08-29T08:49:00Z,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,Indstrøm slut
2011-08-29T18:00:00Z,NA,NA,NA,NA,5,5,5,5,5,NA,5,5,5,NA,Indstrøm
2011-08-29T20:13:00Z,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,Indstrøm slut
2011-08-30T06:55:00Z,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-30T10:52:00Z,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Ud og indstrøm slut
2011-08-30T18:06:00Z,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-30T23:37:00Z,NA,NA,NA,NA,5,5,5,5,NA,5,NA,5,5,5,Ud og indstrøm
2011-08-31T00:32:00Z,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,Indstrøm
2011-08-31T02:23:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-08-31T04:43:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-08-31T05:37:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Ud og indstrøm
2011-08-31T08:21:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Oprensning
2011-08-31T12:14:00Z,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-08-31T18:23:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-31T21:32:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-08-31T21:44:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-01T19:00:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-01T22:26:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-02T02:18:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-05T10:43:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-05T13:35:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-06T03:19:00Z,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-07T07:47:00Z,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Høj havvandstand
2011-09-08T16:05:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-08T17:55:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-09T05:11:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-09T08:16:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-09T16:45:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-09T22:41:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-09T22:42:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-10T04:11:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-10T10:23:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-10T15:29:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-10T18:48:00Z,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,Oprensning
2011-09-10T21:19:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-11T06:04:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-11T09:03:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-11T19:20:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-11T22:20:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-11T22:20:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-12T06:10:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-12T07:58:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-15T07:28:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-15T07:49:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-15T07:49:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-15T09:53:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-15T18:52:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-15T18:53:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-15T19:49:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-15T20:14:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-15T23:52:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-16T00:33:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-16T01:51:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-16T05:42:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-16T07:20:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Arbejde sluse eller havn
2011-09-16T09:34:00Z,NA,NA,NA,NA,5,5,NA,5,5,NA,5,5,NA,5,Udstrøm
2011-09-16T12:21:00Z,NA,NA,NA,NA,5,5,NA,5,5,5,5,5,NA,5,Udstrøm
2011-09-16T13:58:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-16T14:38:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-16T17:28:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-16T21:43:00Z,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,Oprensning
2011-09-16T23:20:00Z,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,Besejling
2011-09-17T00:44:00Z,NA,NA,NA,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,Udstrøm
2011-09-17T03:42:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-17T04:59:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-18T20:18:00Z,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,Udstrøm
2011-09-18T20:19:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-19T02:16:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-19T03:41:00Z,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-19T22:00:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-20T00:46:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Indstrøm slut
2011-09-20T01:28:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Fiskeriet
2011-09-20T12:29:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-20T16:45:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-20T22:41:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-20T23:53:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-23T02:13:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-23T03:01:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm slut
2011-09-23T03:03:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Indstrøm slut
2011-09-23T12:52:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-23T17:27:00Z,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,Besejling
2011-09-23T17:40:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-23T18:12:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-23T20:21:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-23T20:22:00Z,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-24T00:56:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-24T05:00:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-09-24T05:09:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-24T08:13:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-09-24T09:33:00Z,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-09-24T14:22:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-09-24T16:04:00Z,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,Besejling
2011-09-24T21:16:00Z,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,Udstrøm slut
