dates;flow
2020-01-28T08:00:00Z;   0
2020-01-28T08:30:00Z;   0
2020-01-28T09:00:00Z;   0
2020-01-28T09:30:00Z;   0
2020-01-28T10:00:00Z;   0
2020-01-28T10:30:00Z;   0
2020-01-28T11:00:00Z;   0
2020-01-28T11:30:00Z;   0
2020-01-28T12:00:00Z;   0
2020-01-28T12:30:00Z;   0
2020-01-28T13:00:00Z;   0
2020-01-28T13:30:00Z;   0
2020-01-28T14:00:00Z;   0
2020-01-28T14:30:00Z;   0
2020-01-28T15:00:00Z;   0
2020-01-28T15:30:00Z;   0
2020-01-28T16:00:00Z;   0
2020-01-28T16:30:00Z;   0
2020-01-28T17:00:00Z;   0
2020-01-28T17:30:00Z;   0
2020-01-28T18:00:00Z;   0
2020-01-28T18:30:00Z;   0
2020-01-28T19:00:00Z;   0
2020-01-28T19:30:00Z;   0
2020-01-28T20:00:00Z;   0
2020-01-28T20:30:00Z;   0
2020-01-28T21:00:00Z;   0
2020-01-28T21:30:00Z;   0
2020-01-28T22:00:00Z;   0
2020-01-28T22:30:00Z;   0
2020-01-28T23:00:00Z;   0
2020-01-28T23:30:00Z;   0
2020-01-29T00:00:00Z;   0
2020-01-29T00:30:00Z;   0
2020-01-29T01:00:00Z;   0
2020-01-29T01:30:00Z;   0
2020-01-29T02:00:00Z;   0
2020-01-29T02:30:00Z;   0
2020-01-29T03:00:00Z;   0
2020-01-29T03:30:00Z;   0
2020-01-29T04:00:00Z;   0
2020-01-29T04:30:00Z;   0
2020-01-29T05:00:00Z;   0
2020-01-29T05:30:00Z;   0
2020-01-29T06:00:00Z;   0
2020-01-29T06:30:00Z;   0
2020-01-29T07:00:00Z;   0
2020-01-29T07:30:00Z;   0
2020-01-29T08:00:00Z;   0
2020-01-29T08:30:00Z;   0
2020-01-29T09:00:00Z;   0
2020-01-29T09:30:00Z;   0
2020-01-29T10:00:00Z;   0
2020-01-29T10:30:00Z;   0
2020-01-29T11:00:00Z;   0
2020-01-29T11:30:00Z;   0
2020-01-29T12:00:00Z;   0
2020-01-29T12:30:00Z;   0
2020-01-29T13:00:00Z;   0
2020-01-29T13:30:00Z;   0
2020-01-29T14:00:00Z;   0
2020-01-29T14:30:00Z;   0
2020-01-29T15:00:00Z;   0
2020-01-29T15:30:00Z;   0
2020-01-29T16:00:00Z;   0
2020-01-29T16:30:00Z;   0
2020-01-29T17:00:00Z;   0
2020-01-29T17:30:00Z;   0
2020-01-29T18:00:00Z;   0
2020-01-29T18:30:00Z;   0
2020-01-29T19:00:00Z;   0
2020-01-29T19:30:00Z;   0
2020-01-29T20:00:00Z;   0
2020-01-29T20:30:00Z;   0
2020-01-29T21:00:00Z;   0
2020-01-29T21:30:00Z;   0
2020-01-29T22:00:00Z;   0
2020-01-29T22:30:00Z;   0
2020-01-29T23:00:00Z;   0
2020-01-29T23:30:00Z;   0
2020-01-30T00:00:00Z;   0
2020-01-30T00:30:00Z;   0
2020-01-30T01:00:00Z;   0
2020-01-30T01:30:00Z;   0
2020-01-30T02:00:00Z;   0
2020-01-30T02:30:00Z;   0
2020-01-30T03:00:00Z;   0
2020-01-30T03:30:00Z;   0
2020-01-30T04:00:00Z;   0
2020-01-30T04:30:00Z;   0
2020-01-30T05:00:00Z;   0
2020-01-30T05:30:00Z;   0
2020-01-30T06:00:00Z;   0
2020-01-30T06:30:00Z;   0
2020-01-30T07:00:00Z;   0
2020-01-30T07:30:00Z;   0
2020-01-30T08:00:00Z;   0
2020-01-30T08:30:00Z;   0
2020-01-30T09:00:00Z;   0
2020-01-30T09:30:00Z;   0
2020-01-30T10:00:00Z;-225
2020-01-30T10:30:00Z;-298
2020-01-30T11:00:00Z;-298
2020-01-30T11:30:00Z;-276
2020-01-30T12:00:00Z;-224
2020-01-30T12:30:00Z;-101
2020-01-30T13:00:00Z;   0
2020-01-30T13:30:00Z;  10
2020-01-30T14:00:00Z;  19
2020-01-30T14:30:00Z;  13
2020-01-30T15:00:00Z;  23
2020-01-30T15:30:00Z;  25
2020-01-30T16:00:00Z;  32
2020-01-30T16:30:00Z;  35
2020-01-30T17:00:00Z;  34
2020-01-30T17:30:00Z;  30
2020-01-30T18:00:00Z;  34
2020-01-30T18:30:00Z;  25
2020-01-30T19:00:00Z;  34
2020-01-30T19:30:00Z;  34
2020-01-30T20:00:00Z;  39
2020-01-30T20:30:00Z;  40
2020-01-30T21:00:00Z;  32
2020-01-30T21:30:00Z;  34
2020-01-30T22:00:00Z;  26
2020-01-30T22:30:00Z;  19
2020-01-30T23:00:00Z;  21
2020-01-30T23:30:00Z;  21
